"","x"
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0.00202829409473084
"231",0.239458125298255
"232",0.131764429594743
"233",0.102209964787416
"234",0.0167269659309442
"235",0.0522067494871208
"236",0.13805986138054
"237",0.22954533293331
"238",0.0704328701249823
"239",0.0753177385942364
"240",0.0218736683662041
"241",0
"242",0.00657308000227913
"243",0.520722743017786
"244",0.286298898072486
"245",0.213055940821457
"246",0.0360040902885917
"247",0.113638802779641
"248",0.283001301612879
"249",0.442600762457641
"250",0.14959305569338
"251",0.159589186728008
"252",0.0456724247305512
"253",0
"254",0.0171187448888539
"255",0.79233627728883
"256",0.434566046101579
"257",0.283016587338717
"258",0.0530927769455528
"259",0.173446042440434
"260",0.354682421057928
"261",0.440907587454217
"262",0.211259867829068
"263",0.223679259896924
"264",0.0612694092570021
"265",0
"266",0.0130063547575113
"267",0.589953176125221
"268",0.323507810877467
"269",0.208588201372094
"270",0.039439046724708
"271",0.129174039335433
"272",0.260268564351184
"273",0.318265085047879
"274",0.156413959600939
"275",0.165516426933973
"276",0.0452002858423472
"277",0
"278",0.0181112362691102
"279",0.840629355198169
"280",0.461066798739455
"281",0.300746502138873
"282",0.0563503080979433
"283",0.184010456341566
"284",0.377138583348103
"285",0.469755868213952
"286",0.224338952228555
"287",0.23754790996519
"288",0.0650984614964067
"289",0
"290",0.00762060258349617
"291",0.489681383429093
"292",0.269048228884082
"293",0.193206184851389
"294",0.0335674669637117
"295",0.106953430693532
"296",0.25284011476266
"297",0.373753027441752
"298",0.137872094998562
"299",0.146786567668105
"300",0.0414997142128217
"301",0
"302",0.00715748661001786
"303",0.369745013494296
"304",0.202936042687589
"305",0.137636723429486
"306",0.025006184336883
"307",0.0808645262364774
"308",0.175716585743378
"309",0.235804515762339
"310",0.100821182007935
"311",0.106992905190126
"312",0.0296870845551882
"313",0
"314",0.0132267557434549
"315",0.473462419776547
"316",0.25890831381588
"317",0.141103876660363
"318",0.0305077472334138
"319",0.104061653954368
"320",0.162409943259523
"321",0.142221475349362
"322",0.114489953619215
"323",0.12003191889561
"324",0.0312287845204611
"325",0
"326",0.0209275788815347
"327",0.818658097023733
"328",0.448275057145737
"329",0.26530514564239
"330",0.0537017260263413
"331",0.179595672749729
"332",0.317792191224466
"333",0.327142453676879
"334",0.207099671871209
"335",0.218107127520497
"336",0.0580560698883362
"337",0
"338",0.00482863250815458
"339",0.355706304023677
"340",0.195527732057462
"341",0.143869117317628
"342",0.0245261645741169
"343",0.0776476045098242
"344",0.190224480100924
"345",0.292548151486435
"346",0.101530997577858
"347",0.108245772781523
"348",0.0308586557246521
"349",0
"350",0.000144698466111842
"351",0.109577219550013
"352",0.0603662676622919
"353",0.0495375556025141
"354",0.007764924849012
"355",0.0238579735850473
