"","C"
"",36.8377713211851
"",36.1809005889094
"",35.5103823513032
"",34.8182584763843
"",34.0900952536073
"",33.3562564169794
"",32.6189424737272
"",31.8761738584462
"",31.1227224657104
"",30.3609541061751
"",29.5949574340896
"",28.8161405467523
"",28.0554914316023
"",27.2890766193548
"",26.5459499324129
"",25.7943624969583
"",25.0727646835459
"",24.3405422475883
"",23.6039742979986
"",22.8866478008503
"",22.1749631169623
"",21.4868446840805
"",20.7818156751748
"",20.0986762241942
"",19.4385964430367
"",18.7996469896177
"",18.1612917483635
"",17.5360478510232
"",16.9216499872185
"",16.3341508621923
"",15.7528933710832
"",15.2020122321245
"",14.6719140068599
"",14.1560474806022
"",13.6557655319661
"",13.1767191097499
"",12.7052289322219
"",12.2538272334936
"",11.8158645717144
"",11.3801106247848
"",10.968258967896
"",10.5857589462752
"",10.209974251811
"",9.84922400070646
"",9.50570338038115
"",9.16657574598284
"",8.84106886786719
"",8.52065593561661
"",8.22405301268464
"",7.93616515528166
"",7.65601706253257
"",7.39085319117722
"",7.13356123496334
"",6.88222012371183
"",6.63749910483545
"",6.40616978346637
"",6.18467614036336
"",5.97170894810778
"",5.76663755771931
"",5.56791727865309
"",5.37673773467581
"",5.19141387662613
"",5.01106665204126
"",4.84034079324782
"",4.67263537533782
"",4.51184948274197
"",4.35833896433599
"",4.20976285550086
"",4.06589175490765
"",3.92924056283038
"",3.79466706048853
"",3.66326234682872
"",3.5403132533529
"",3.42294908920143
"",3.30911480071481
"",3.20033374358264
"",3.09126095758499
"",2.98428672614428
"",2.88397709445895
"",2.78728853601444
"",2.694859246203
"",2.60293897253827
"",2.51706492627956
"",2.43391573042603
"",2.35427152290321
"",2.27692853652433
"",2.20119773300876
"",2.12720409002135
"",2.05766291399374
"",1.99026720299893
"",1.92470801292418
"",1.86275294312986
"",1.80268203522481
"",1.74417073453033
"",1.68734581172204
"",1.6316398189625
"",1.57916741923267
"",1.528101627051
"",1.47838172320147
"",1.42951214766742
"",1.38398889681775
"",1.339893279199
"",1.29721194695518
"",1.25548199191822
